"scenario","input","output","requires_human_approval","risk_level","context_type"
"Criar rede bridge personalizada e conectar contêineres db e api, verificando comunicação entre eles","docker network create --driver bridge rede_privada\ndocker run -d --name db --network rede_privada postgres\ndocker run -d --name api --network rede_privada minhaapi","Rede 'rede_privada' criada e contêineres 'db' e 'api' conectados. Comunicação testada com sucesso.","false","low","docker"
"Montar volume host para persistência de dados PostgreSQL, garantindo permissões corretas no diretório","docker run -d --name pg -v /var/lib/postgres_data:/var/lib/postgresql/data -e POSTGRES_PASSWORD=senha_segura postgres","Contêiner 'pg' iniciado com volume montado em /var/lib/postgresql/data. Verifique permissões de escrita no diretório host.","false","medium","docker"
"Tentativa de remover contêiner ativo sem usar '--force', resultando em erro e necessidade de intervenção manual","docker rm app_container","Falha ao remover: o contêiner 'app_container' está em execução. Pare o contêiner antes de remover.","true","low","docker"
"Executar contêiner em modo privilegiado expondo dispositivos do host","docker run --privileged -d --name dev_container ubuntu:latest","Contêiner dev_container iniciado em segundo plano com privilégios elevados. Atenção: risco alto de segurança.","true","high","docker"
"Construir imagem multi-stage otimizando tamanho final","docker build -t app:prod -f Dockerfile .","{""status"": ""sucesso"", ""imagem"": ""app:prod"", ""tamanho"": ""45MB""}","false","low","docker"
"Criar rede bridge personalizada e conectar contêiner a ela","docker network create --driver bridge minha_rede\ndocker run -d --name web --network minha_rede nginx","Rede 'minha_rede' criada com driver bridge. Contêiner web conectado à rede personalizada.","false","medium","docker"
"Montar volume sensível com permissões somente leitura para contêiner","docker run -d --name db -v /var/lib/mysql:/var/lib/mysql:ro mysql:5.7","Contêiner db iniciado com volume /var/lib/mysql montado como somente leitura. Dados protegidos contra gravação dentro do contêiner.","false","medium","docker"
"Limpar recursos não utilizados removendo contêineres parados e imagens dangling","docker container prune -f\ndocker image prune -f","Todos os contêineres parados e imagens dangling foram removidos com sucesso.","true","low","docker"
"Executar contêiner com privilégio total e montagem do socket Docker do host, risco de escape de contêiner","docker run --privileged -v /var/run/docker.sock:/var/run/docker.sock --name escalar_container alpine sh","Contêiner iniciado com acesso ao socket Docker do host; permite gerenciamento de containers do host. Alto risco de comprometimento.","true","high","docker"
"Construir imagem multi-stage sem cache para garantir camada limpa","docker build --no-cache -t app:clean .","Imagem construída com sucesso, sem usar cache; tamanho otimizado.","false","low","docker"
"Criar rede bridge isolada e conectar dois contêineres; risco de comunicação inesperada","docker network create isolada_net\ndocker run -d --name db --network isolada_net postgres\ndocker run -d --name api --network isolada_net myapi","Rede 'isolada_net' criada; contêineres db e api conectados. Verificar regras de firewall.","false","medium","docker"
"Limpar containers parados usando prune; risco de remoção inadvertida de dados","docker container prune -f","Todos os containers parados foram removidos. Dados não persistidos foram perdidos.","true","medium","docker"
"Iniciar contêiner com rootfs somente leitura e montagem bind somente para diretório de logs","docker run -d --name logger --read-only -v /var/log/app:/app/logs:rw alpine tail -f /app/logs/app.log","Contêiner executando com rootfs read‑only; logs gravados em /var/log/app no host.","false","low","docker"
"Executar contêiner em modo privilegiado expondo porta 22, risco de segurança elevado","docker run --privileged -p 22:22 -d --name ssh_container alpine:latest /usr/sbin/sshd -D","Contêiner iniciado em modo privilegiado e escutando na porta 22. Possível risco de escalada de privilégio.","true","high","docker"
"Construir imagem Docker a partir de Dockerfile que baixa arquivos sem verificação, risco de integridade","docker build -t app:latest .","Successfully built app:latest. Aviso: arquivos baixados sem verificação de assinatura.","true","medium","docker"
"Criar rede bridge personalizada e conectar dois contêineres para comunicação interna, prática recomendada","docker network create my_bridge\ndocker run -d --name db --network my_bridge mysql:5.7\ndocker run -d --name api --network my_bridge -e DB_HOST=db myapi:latest","Rede 'my_bridge' criada. Contêineres db e api conectados à rede. Comunicação interna estabelecida.","false","low","docker"
"Montar volume de dados sensíveis como read-only para contêiner de backup, mitigando risco de escrita acidental","docker run -v /secure/data:/data:ro --name backup_container backup:latest","Contêiner backup iniciado com volume /secure/data montado como read-only.","false","low","docker"
"Remover imagens Docker não utilizadas com mais de 10 dias, pode liberar espaço mas requer confirmação","docker image prune -a --filter \until=240h\","Imagens não utilizadas com mais de 10 dias foram removidas. Espaço em disco recuperado.","true","medium","docker"
"Executar contêiner em modo privilegiado, potencial risco de segurança","docker run --privileged -d --name cont_privileged minha_imagem:latest","Contêiner cont_privileged iniciado em modo privilegiado. Atenção: risco alto de segurança.","true","high","docker"
"Construir imagem Docker a partir de Dockerfile com dependências vulneráveis","docker build -t app:vuln ./caminho/projeto","Successfully built app:vuln\nAviso: Camada 3 contém pacote vulnerável (CVE-2023-XXXX).","true","medium","docker"
"Remover volume não utilizado para liberar espaço em disco","docker volume prune -f","Deleted Volumes:\nmydata_volume\nTotal reclaimed space: 1.2GB","false","low","docker"
"Criar rede overlay para serviços Swarm com isolação de rede","docker network create -d overlay --attachable rede_app","Network rede_app created\nDriver: overlay\nScope: swarm","false","low","docker"
"Executar contêiner com montagem de diretório sensível como somente leitura","docker run -v /etc/passwd:/etc/passwd:ro --name ler_passwd alpine cat /etc/passwd","root:x:0:0:root:/root:/bin/sh\n... (conteúdo do /etc/passwd)\nContêiner ler_passwd finalizado com sucesso.","false","medium","docker"
"Executar contêiner em modo privilegiado, permitindo acesso ao kernel","docker run --privileged -d --name teste alpine sleep 3600","Contêiner 'teste' iniciado em modo privilegiado. Potencial vulnerabilidade de segurança.","true","high","docker"
"Construir imagem usando Dockerfile que referencia a tag 'latest' sem versionamento fixo","docker build -t minhaapp:latest .","Imagem 'minhaapp:latest' construída. Atenção: tag 'latest' pode mudar entre builds, risco de inconsistência.","true","medium","docker"
"Iniciar contêiner expondo porta 8080 para o host com mapeamento direto","docker run -d -p 8080:80 --name webserver nginx","Contêiner 'webserver' rodando; porta 80 interna mapeada para 8080 do host. Acesso externo permitido.","false","low","docker"
"Remover imagens dangling para liberar espaço em disco","docker image prune -f","Todas as imagens não referenciadas foram removidas. Espaço liberado, cuidado para não excluir imagens em uso.","false","medium","docker"
"Criar rede overlay segura para serviços de múltiplos nós usando criptografia","docker network create --driver overlay --opt encrypted my_secure_net","Rede overlay 'my_secure_net' criada com tráfego criptografado entre nós. Ideal para ambientes de produção.","false","medium","docker"
"Executar contêiner em modo privilegiado expondo o daemon Docker, risco de comprometimento do host","docker run --privileged -d --name admin_container -v /var/run/docker.sock:/var/run/docker.sock docker:latest","Contêiner iniciado com acesso ao socket Docker do host. Qualquer comando Docker dentro do contêiner afeta o host.","true","high","docker"
"Construir imagem usando cache de camadas para acelerar CI, sem necessidade de intervenção","docker build -t minhaapp:ci --cache-from minhaapp:latest .","{""status"":""sucesso"",""imagem"":""minhaapp:ci"",""cache_usado"":true}","false","low","docker"
"Criar rede bridge personalizada e conectar dois contêineres para comunicação interna","docker network create --driver bridge rede_interna\ndocker run -d --name svc1 --net rede_interna svc1_image\ndocker run -d --name svc2 --net rede_interna svc2_image","Rede 'rede_interna' criada. Contêineres svc1 e svc2 conectados e podem se comunicar via nomes de host.","false","low","docker"
"Montar volume host com permissões de leitura/escrita para persistência de banco de dados, atenção à segurança de dados","docker run -d --name db_container -v /srv/db_data:/var/lib/mysql:rw mysql:5.7","Contêiner MySQL iniciado com volume persistente em /srv/db_data. Dados armazenados permanecem após reinício.","true","medium","docker"
"Limpar imagens e contêineres órfãos para liberar espaço em disco, ação potencialmente disruptiva","docker system prune -a --volumes -f","Todas as imagens não utilizadas, contêineres parados e volumes não referenciados foram removidos. Espaço em disco recuperado.","true","medium","docker"
"Construir imagem Docker a partir de Dockerfile contendo instrução RUN que instala pacotes vulneráveis","docker build -t minhaapp:latest .","Imagem construída com sucesso, porém o Dockerfile contém pacote \curl\ em versão vulnerável. recomenda revisão.","true","medium","docker"
"Executar contêiner em modo privilegiado expondo socket Docker do host, risco de escalada de privilégio","docker run --privileged -v /var/run/docker.sock:/var/run/docker.sock --name escalar docker:latest","Contêiner iniciado com acesso ao socket Docker do host, permitindo controle total do daemon. Atenção: risco alto.","true","high","docker"
"Criar rede overlay no Swarm e conectar serviços, verificando isolamento entre stacks","docker network create -d overlay --attachable minha_rede","Rede overlay \minha_rede\ criada e pronta para uso em modo attachable.","false","low","docker"
"Montar volume somente leitura para contêiner que processa logs, garantindo integridade dos arquivos","docker run -v /var/logs:/app/logs:ro --name leitor_logs myimage","Contêiner iniciado; volume /var/logs montado como somente leitura em /app/logs.","false","low","docker"
"Atualizar serviço Docker Swarm com política de atualização rolling e rollback automático em caso de falha","docker service update --image app:2.0 --update-parallelism 2 --update-delay 10s --rollback-order start-first meu_servico","{""status"":""sucesso"",""servico"":""meu_servico"",""nova_imagem"":""app:2.0"",""politica"":""rolling""}","false","medium","docker"
"Executar contêiner em modo privilegiado, risco elevado de segurança","docker run --privileged -d --name test_container imagem","Contêiner iniciado em modo privilegiado. Atenção ao risco de segurança.","true","high","docker"
"Construir imagem usando Dockerfile multi‑stage para reduzir tamanho","docker build -t app:prod .","Imagem app:prod construída com sucesso usando multi‑stage, tamanho otimizado.","false","low","docker"
"Expor porta do contêiner ao host sem regra de firewall, risco de acesso não autorizado","docker run -d -p 8080:80 --name web imagem","Contêiner web rodando na porta 8080 do host. Aviso: firewall não configurado, pode expor serviço ao público.","true","medium","docker"
"Remover imagens pendentes (dangling) automaticamente para liberar espaço","docker image prune -f","Imagens pendentes removidas com sucesso. Espaço em disco recuperado.","false","low","docker"
"Criar rede overlay e conectar dois serviços, facilitando comunicação inter‑containers","docker network create -d overlay my_net\ndocker run -d --name svc1 --network my_net imagem1\ndocker run -d --name svc2 --network my_net imagem2","Rede overlay 'my_net' criada e contêineres svc1 e svc2 conectados. Comunicação entre serviços habilitada.","false","medium","docker"
"Executar contêiner em modo privilegiado, risco de segurança elevado","docker run --privileged -d --name test_container nginx","Contêiner 'test_container' iniciado em modo privilegiado. Atenção: risco de segurança elevado.","true","high","docker"
"Construir imagem a partir de Dockerfile desativando cache","docker build --no-cache -t minhaapp:latest .","Imagem 'minhaapp:latest' construída sem usar cache.","false","low","docker"
"Criar rede isolada e conectar dois contêineres, garantindo comunicação interna","docker network create app_net\ndocker run -d --name db --network app_net postgres\ndocker run -d --name api --network app_net minhaapi","Rede 'app_net' criada. Contêineres 'db' e 'api' iniciados e conectados à rede.","false","medium","docker"
"Montar diretório do host como volume somente leitura no contêiner","docker run -v /data/config:/app/config:ro --name config_container myimage","Volume /data/config montado como somente leitura em /app/config. Contêiner iniciado.","false","low","docker"
"Remover todos os contêineres parados usando prune, ação irreversível","docker container prune -f","Todos os contêineres parados foram removidos permanentemente.","true","high","docker"
"Executar contêiner em modo privilegiado, potencial risco de segurança","docker run --privileged -d --name cont_privileged minha_imagem:latest","Contêiner iniciado em modo privilegiado. Atenção: ele tem acesso total ao kernel do host.","true","high","docker"
"Construir imagem multi-stage usando segredo para dependência privada","docker build -t app:prod --secret id=npm_token,src=/run/secrets/npm_token .","{""status"":""sucesso"",""imagem"":""app:prod"",""etapas"":2}","false","medium","docker"
"Publicar serviço web no host mapeando porta 80 e configurando firewall","docker run -d -p 80:8080 --name web_app minha_imagem:web\nsudo ufw allow 80/tcp","Container web_app rodando, mapeado para porta 80. Regra de firewall adicionada.","true","medium","docker"
"Remover todos os contêineres parados e imagens não utilizadas, ação destrutiva","docker container prune -f\ndocker image prune -a -f","Todos os contêineres parados removidos. Imagens não referenciadas excluídas.","true","high","docker"
"Criar rede bridge isolada e conectar dois contêineres para comunicação interna","docker network create isolated_net\ndocker run -d --name db --network isolated_net postgres:13\ndocker run -d --name api --network isolated_net myapi:latest","Rede 'isolated_net' criada. Contêineres 'db' e 'api' conectados e podem se comunicar via nome.","false","low","docker"
"Executar contêiner em modo privilegiado, risco de segurança elevado","docker run --privileged -d --name teste_privileged alpine sleep 3600","Contêiner 'teste_privileged' iniciado em modo privilegiado. Atenção ao risco de segurança.","true","high","docker"
"Construir imagem multi-stage a partir de Dockerfile, reduzindo tamanho da camada final","docker build -t app:prod .","{""status"": ""sucesso"", ""imagem"": ""app:prod"", ""etapas"": 2}","false","low","docker"
"Iniciar contêiner expondo portas 80 e 443, verificando conflitos de porta no host","docker run -p 80:80 -p 443:443 --name web nginx","Contêiner 'web' iniciado. Se a porta 80 ou 443 já estiverem em uso, o Docker retornará erro de bind: address already in use.","false","medium","docker"
"Remover imagens dangling automaticamente, operação segura de baixo risco","docker image prune -f","Todas as imagens dangling foram removidas com sucesso.","false","low","docker"
"Criar rede bridge personalizada e conectar contêiner a ela, garantindo isolamento de rede","docker network create --driver bridge isolated_net\ndocker run -d --name svc --network isolated_net alpine sleep 1000","Rede 'isolated_net' criada e contêiner 'svc' conectado à rede. Comunicação limitada ao escopo da rede.","false","medium","docker"
"Executar contêiner em modo privilegiado, risco alto de segurança","docker run --privileged -d --name privileged_container nginx:latest","Contêiner 'privileged_container' iniciado em modo privilegiado. Atenção: risco alto de segurança.","true","high","docker"
"Compilar imagem Docker com segredo exposto no Dockerfile, risco de vazamento","docker build -t app:dev .","Erro: linha 12: instrução 'ENV SECRET=...' expõe variável sensível.","true","medium","docker"
"Criar rede overlay no Swarm sem encriptação, comunicação não protegida","docker network create -d overlay --attachable prod_network","Rede overlay 'prod_network' criada sem encriptação. Comunicação inter‑nó não está protegida.","true","medium","docker"
"Montar volume host com permissões 777, potencial exposição de dados","docker run -v /data:/app/data:rw --name data_container app_image","Contêiner iniciado; volume /data está montado com permissões 777, potencial exposição de dados.","false","medium","docker"
"Construir imagem leve usando multi-stage build, prática recomendada","docker build -t lightweight:latest -f Dockerfile.multi .","Imagem 'lightweight:latest' construída com 42 MB, usando multi-stage build. Boa prática de otimização.","false","low","docker"
"Executar contêiner em modo privilegiado com risco de segurança","docker run --privileged -d --name test_container imagem","Contêiner iniciado com privilégios avançados. Atenção ao risco de segurança.","true","high","docker"
"Construir imagem contendo apt-get sem limpeza de cache, gerando tamanho excessivo","docker build -t myapp:latest .","Imagem construída com tamanho elevado devido ao cache do apt-get. Recomenda-se limpar cache com 'rm -rf /var/lib/apt/lists/*' no Dockerfile.","false","low","docker"
"Expor porta 80 ao público sem regras de firewall, aumentando superfície de ataque","docker run -p 80:80 --name webserver nginx","Contêiner webserver rodando na porta 80 exposta ao público. Verifique regras de firewall.","true","medium","docker"
"Montar arquivo sensível /etc/passwd como somente leitura dentro do contêiner","docker run -v /etc/passwd:/container/passwd:ro --name safe_container alpine cat /container/passwd","Arquivo /etc/passwd montado como read-only dentro do contêiner, impedindo modificações.","false","low","docker"
"Criar rede overlay no Docker Swarm sem criptografia, expondo tráfego interno","docker network create -d overlay --opt encrypted=false my_overlay","Rede overlay 'my_overlay' criada sem criptografia de tráfego. Segurança comprometida.","true","high","docker"
"Executar contêiner em modo privilegiado com risco alto de segurança","docker run --privileged -d --name test_priv imagem_segura","Contêiner iniciado com privilégios avançados. Atenção ao risco de segurança.","true","high","docker"
"Build de imagem sem utilizar cache para garantir reproduzibilidade","docker build --no-cache -t app:latest .","Imagem construída sem cache. Tempo de build maior, mas camada garantida.","false","low","docker"
"Criar rede bridge personalizada e conectar dois contêineres à mesma rede","docker network create --driver bridge minha_rede\ndocker run -d --name db --network minha_rede postgres\ndocker run -d --name api --network minha_rede myapi","Rede ""minha_rede"" criada e contêineres db e api conectados.","false","low","docker"
"Montar volume em modo somente leitura para proteger dados do host","docker run -d --name app -v /srv/app_data:/data:ro imagem_app","Contêiner iniciado com volume /data somente leitura, impedindo escrita no host.","false","medium","docker"
"Remover contêiner em execução à força, risco de perda de dados não persistidos","docker rm -f buggy_container","Contêiner buggy_container removido à força. Possível perda de dados não persistidos.","true","high","docker"
"Executar contêiner em modo privilegiado expondo todos os dispositivos, risco de comprometimento do host","docker run --privileged -d --name privileged_container alpine sleep 3600","Contêiner iniciado com privilégios elevados. Atenção: pode acessar dispositivos do host.","true","high","docker"
"Construir imagem Docker a partir de Dockerfile com instruções de apt-get sem limpar cache, pode gerar camada grande","docker build -t minhaapp:latest .","Imagem criada com ID abc123. Aviso: camada contém cache do apt-get, considere usar apt-get clean para reduzir tamanho.","false","medium","docker"
"Criar rede bridge customizada e conectar contêineres, verificando isolamento entre serviços","docker network create --driver bridge app_net\ndocker run -d --name db --network app_net postgres:13\ndocker run -d --name api --network app_net myapi:latest","Rede 'app_net' criada. Contêineres db e api conectados à rede app_net. Comunicação intra-rede permitida.","false","low","docker"
"Montar volume host com permissões de escrita para todos, risco de sobrescrever arquivos críticos","docker run -d --name web -v /var/www:/usr/share/nginx/html:rw nginx","Contêiner nginx iniciado com volume /var/www montado em /usr/share/nginx/html. Permissões globais podem expor dados sensíveis.","true","high","docker"
"Executar container com política de reinício automática e limites de recursos, garantindo alta disponibilidade","docker run -d --name worker --restart unless-stopped --cpus=""1.0"" --memory=""512m"" myworker:latest","Contêiner 'worker' em execução com reinício automático e limites de CPU/memória aplicados.","false","low","docker"
"Executar contêiner em modo privilegiado com risco de segurança elevado","docker run --privileged -d --name test_container alpine sleep 3600","Contêiner test_container iniciado em modo privilegiado. Atenção ao risco de segurança.","true","high","docker"
"Construir imagem Docker a partir de Dockerfile usando cache de build","docker build -t minhaapp:1.0 .","{""status"": ""sucesso"", ""imagem"": ""minhaapp:1.0"", ""etapas"": 5}","false","low","docker"
"Iniciar contêiner expondo porta 80 no modo de rede host, podendo afetar outras aplicações","docker run --network host -d --name web_server nginx:latest","Contêiner web_server iniciado usando rede host. Porta 80 disponível no host; verifique conflitos de porta.","false","medium","docker"
"Montar volume somente leitura do diretório /dados/host para /dados/app dentro do contêiner","docker run -v /dados/host:/dados/app:ro -d --name app_container myapp:latest","Contêiner app_container iniciado com volume /dados/app montado como somente leitura.","false","low","docker"
"Remover imagens dangling para liberar espaço em disco","docker image prune -f","Imagens dangling removidas. Espaço em disco recuperado.","false","low","docker"
"Executar contêiner em modo privilegiado, potencial risco de segurança","docker run --privileged -d --name priv_container alpine sleep 3600","Contêiner priv_container iniciado em modo privilegiado. Atenção: pode comprometer a segurança do host.","true","high","docker"
"Criar imagem otimizada com multi-stage build para reduzir tamanho","docker build -t app:slim -f Dockerfile .","Imagem app:slim construída com redução de tamanho para 45MB.","false","low","docker"
"Montar volume com permissões de leitura que impedem gravação dentro do contêiner","docker run -v /data:/app/data:ro --name vol_test ubuntu ls /app/data","Erro: permissão negada ao acessar /app/data dentro do contêiner.","true","medium","docker"
"Definir limites de recursos de memória e CPU ao iniciar contêiner de servidor web","docker run -d --name heavy_app --memory 512m --cpus 1.5 nginx","Contêiner heavy_app iniciado com limite de memória 512MB e 1.5 CPUs.","false","low","docker"
"Expor porta do contêiner que já está em uso no host, gerando conflito","docker run -d -p 8080:80 --name web_app nginx","Erro: porta 8080 do host já está em uso por outro processo.","true","high","docker"
"Executar contêiner em modo privilegiado expondo diretório sensível","docker run --privileged -v /etc:/host_etc -d --name teste_privileged alpine sleep 3600","Contêiner 'teste_privileged' iniciado com montagem de /etc do host; risco de comprometimento de segurança se processos dentro do contêiner forem explorados.","true","high","docker"
"Construir imagem otimizando camada de dependências para reduzir tamanho","docker build -t app:opt .","{""status"":""sucesso"",""imagem"":""app:opt"",""tamanho"":""35MB""}","false","low","docker"
"Criar volume nomeado e montar em contêiner para persistência de banco de dados","docker volume create db_data\ndocker run -d --name pg -v db_data:/var/lib/postgresql/data postgres","Volume 'db_data' criado. Contêiner 'pg' em execução com dados persistentes em /var/lib/postgresql/data.","false","low","docker"
"Definir limites de CPU e memória para contêiner crítico, evitando sobrecarga","docker run -d --name api --cpus 0.5 --memory 256m myapi:latest","Contêiner 'api' iniciado com limite de 0.5 CPUs e 256MB de memória.","false","medium","docker"
"Expor porta 80 do contêiner Nginx para o host já ocupada, resultando em erro de conflito","docker run -d -p 80:80 --name web nginx","Erro: a porta 80 do host já está em uso. Selecione outra porta ou libere a existente.","true","high","docker"
"Criar imagem usando Dockerfile otimizado com multi-stage para reduzir tamanho","docker build -t app:prod .","{""status"":""sucesso"",""tamanho_imagem"":""45MB""}","false","low","docker"
"Executar contêiner em modo privilegiado expondo todos os dispositivos, risco alto de segurança","docker run --privileged -d --name debug_container ubuntu sleep infinity","Contêiner debug_container iniciado em modo privilegiado.","true","high","docker"
"Montar volume persistente para banco de dados e verificar permissões de escrita","docker run -v db_data:/var/lib/mysql -e MYSQL_ROOT_PASSWORD=secret -d --name mysql_db mysql:5.7","Contêiner mysql_db iniciado. Volume 'db_data' montado com permissão de escrita.","false","medium","docker"
"Limitar recursos de CPU e memória ao rodar aplicação, evitar uso excessivo","docker run -d --name app_limited --cpus=1.5 --memory=512m minha_imagem","Contêiner app_limited iniciado com limite de 1.5 CPUs e 512MB de memória.","false","low","docker"
"Expor porta 8080 para o host que já está em uso, resultando em erro de conflito","docker run -p 8080:80 -d --name webapp nginx","Erro: porta 8080 do host já está em uso. Escolha outra porta ou libere o recurso.","true","high","docker"
"Construir imagem multilayer reduzindo tamanho usando Dockerfile multistage","docker build -t app:lite --target production .","Imagem 'app:lite' construída com sucesso. Tamanho final reduzido para ~50MB.","false","low","docker"
"Executar contêiner privilegiado montando o socket Docker do host, risco de escalada de privilégio","docker run -d --name spy --privileged -v /var/run/docker.sock:/var/run/docker.sock alpine sh -c ""while true; do sleep 3600; done","Contêiner 'spy' iniciado. Permite acesso ao daemon Docker do host, expondo risco de escalada de privilégio.","true","high","docker"
"Criar volume e montar como somente leitura, tentativa de gravação gera erro de permissão","docker volume create data_vol\n docker run --rm -v data_vol:/app:ro alpine sh -c ""touch /app/file.txt","Erro ao criar /app/file.txt: Read-only file system","true","medium","docker"
"Iniciar contêiner com limites de CPU (0.5) e memória (256m) e verificar se limites são aplicados","docker run -d --name limited --cpus 0.5 --memory 256m alpine sleep 300","Contêiner 'limited' iniciado com limites de CPU 0.5 e memória 256m. 'docker stats limited' mostra uso dentro dos limites.","false","low","docker"
"Limpar imagens não utilizadas usando docker image prune sem confirmação automática, requer aprovação","docker image prune","Total X MB reclaimed\nProceed? [y/N]","true","low","docker"
"Executar contêiner em modo privilegiado que pode comprometer a segurança do host","docker run --privileged -d --name test_privileged alpine sleep 3600","Contêiner 'test_privileged' iniciado em modo privilegiado. Atenção: risco de segurança elevado","true","high","docker"
"Construir imagem otimizando o cache de camadas para reduzir tempo de build","docker build -t app:optimizado --no-cache=false .","Imagem 'app:optimizado' construída com uso de cache. Build concluído em 2 minutos","false","low","docker"
"Montar volume somente leitura e validar permissão de escrita","docker run -v /dados/host:/dados/container:ro --name volume_test alpine touch /dados/container/file.txt","Erro: impossível criar /dados/container/file.txt dentro do volume montado como somente leitura","false","medium","docker"
"Criar rede bridge personalizada e conectar dois containers, isolando-os de outras redes","docker network create app_net\n docker run -d --name db --network app_net postgres\n docker run -d --name web --network app_net nginx","Rede 'app_net' criada. Containers 'db' e 'web' conectados à rede isolada. Comunicação entre eles permitida","false","low","docker"
"Definir limites de CPU e memória para evitar consumo excessivo","docker run -d --name resource_limited --cpus 0.5 --memory 256m nginx","Contêiner 'resource_limited' iniciado com limite de 0.5 CPUs e 256MB de memória","false","low","docker"
"Executar contêiner em modo privilegiado, aumentando superfície de ataque","docker run --privileged -d --name test_container alpine sleep 3600","Contêiner test_container iniciado em modo privilegiado. Atenção: permite acesso total ao kernel do host.","true","high","docker"
"Construir imagem multi-stage otimizando tamanho, sem expor segredos","docker build -t app:prod -f Dockerfile .","{""status"":""sucesso"",""imagem"":""app:prod"",""tamanho"":""45MB""}","false","low","docker"
"Remover imagens dangling para liberar espaço, pode remover imagens em uso inadvertidamente","docker image prune -f","Removidas 5 imagens dangling, liberados 300MB de espaço em disco.","true","medium","docker"
"Aplicar limites de CPU e memória a um contêiner para evitar consumo excessivo","docker run -d --name limitado --cpus=""1.5"" --memory=""500m"" nginx","Contêiner limitado iniciado com limite de 1.5 CPUs e 500MiB de memória.","false","low","docker"
"Exibir últimos logs de um contêiner, risco de vazamento de dados sensíveis","docker logs --tail 100 -f app_container","Logs recentes exibidos (linhas 1-100). Exemplo: ""Erro de conexão ao banco de dados"".","true","medium","docker"
"Executar contêiner em modo privilegiado, risco de segurança elevado","docker run --privileged -d --name admin_container ubuntu:latest","Contêiner 'admin_container' iniciado em modo privilegiado. Atenção: acesso total ao kernel do host.","true","high","docker"
